frame,x_center,y_center
1565,358,140
1566,359,140
1567,359,141
1568,359,141
1569,359,141
1570,360,141
1571,359,141
1572,359,141
1573,358,140
1574,359,140
1575,359,140
1576,359,140
1577,359,140
1578,359,141
1579,359,141
1580,359,141
1581,359,141
1582,359,141
1583,360,141
1584,360,141
1585,360,140
1586,360,140
1587,360,140
1588,359,140
1589,359,141
1590,359,140
1591,359,140
1592,359,141
1593,359,140
1594,358,141
1595,358,141
1596,358,141
1597,359,141
1598,359,141
1599,359,141
1600,359,140
1601,359,140
1602,359,140
1603,359,140
1604,359,140
1605,359,140
1606,360,140
1607,360,140
1608,360,140
1609,360,140
1610,360,140
1611,360,140
1612,360,140
1613,361,140
1614,360,140
1615,361,140
1616,360,140
1617,360,140
1618,360,140
1619,360,140
1620,360,140
1621,359,140
1622,360,140
1623,360,140
1624,359,140
1625,360,140
1626,360,140
1627,360,140
1628,360,140
1629,360,140
1630,360,140
1631,360,141
1632,360,140
1633,359,140
1634,360,140
1635,360,140
1636,360,141
1637,360,141
1638,360,141
1639,360,141
1640,360,141
1641,360,141
1642,360,140
1643,360,140
1644,360,141
1645,360,141
1646,360,140
1647,359,140
1648,359,140
1649,359,140
1650,359,140
1651,359,140
1652,360,141
1653,360,140
1654,359,140
1655,360,141
1656,360,141
1657,361,141
1658,361,141
1659,362,141
1660,362,141
1661,362,140
1662,362,141
1663,361,141
1664,361,141
1665,361,141
1666,359,140
1667,359,140
1668,360,140
1669,359,140
1670,359,140
1671,360,140
1672,359,140
1673,359,140
1674,359,140
1675,359,140
1676,360,140
1677,360,140
1678,360,140
1679,360,141
1680,359,141
1681,359,141
1682,359,141
1683,359,141
1684,359,141
1685,359,141
1686,359,140
1687,359,141
1688,359,141
1689,359,141
1690,360,141
1691,360,141
1692,360,141
1693,360,140
1694,360,140
1695,360,140
1696,360,141
1697,360,141
1698,360,141
1699,361,141
1700,361,141
1701,362,141
1702,362,141
1703,362,141
1704,361,141
1705,361,141
1706,362,141
1707,362,141
1708,362,141
1709,361,141
1710,361,141
1711,361,141
1712,360,141
1713,360,141
1714,360,141
1715,360,141
1716,361,141
1717,360,141
1718,361,141
1719,361,141
1720,360,141
1721,360,141
1722,360,141
1723,360,142
1724,360,142
1725,360,142
1726,360,142
1727,359,141
1728,360,141
1729,360,141
1730,359,141
1731,359,141
1732,359,141
1733,359,142
1734,359,142
1735,359,142
1736,359,142
1737,359,141
1738,359,142
1739,359,141
1740,360,141
1741,360,141
1742,360,141
1743,360,141
1744,360,141
1745,360,141
1746,360,141
1747,360,141
1748,359,141
1749,359,141
1750,359,141
1751,360,141
1752,360,141
1753,359,141
1754,360,141
1755,361,141
1756,360,141
1757,360,141
1758,360,141
1759,360,141
1760,360,140
1761,360,141
1762,360,141
1763,359,141
1764,361,141
1765,361,141
1766,361,141
1767,361,141
1768,360,141
1769,360,141
1770,360,141
1771,359,142
1772,359,141
1773,359,141
1774,359,141
1775,359,141
1776,359,141
1777,359,141
1778,359,141
1779,359,141
1780,359,141
1781,359,141
1782,359,141
1783,359,141
1784,359,141
1785,359,141
1786,359,141
1787,359,141
1788,360,141
1789,360,141
1790,360,141
1791,360,141
1792,361,141
1793,360,141
1794,361,141
1795,358,144
1796,360,141
1797,360,141
1798,360,141
1799,360,140
1800,360,141
1801,360,140
1802,360,140
1803,360,141
1804,360,140
1805,361,141
1806,361,141
1807,360,141
1808,360,141
1809,360,141
1810,360,141
1811,360,141
1812,359,141
1813,358,141
1814,359,141
1815,359,141
1816,359,141
1817,358,141
1818,359,141
1819,359,141
1820,359,141
1821,359,141
1822,359,141
1823,359,141
1824,359,141
1825,360,141
1826,359,141
1827,360,141
1828,360,141
1829,359,141
1830,360,141
1831,359,141
1832,360,141
1833,360,141
1834,359,141
1835,360,141
1836,361,141
1837,362,141
1838,361,141
1839,361,141
1840,360,141
1841,360,141
1842,360,141
1843,360,141
1844,360,141
1845,360,140
1846,360,140
1847,360,140
1848,360,140
1849,360,140
1850,360,140
1851,361,141
1852,361,141
1853,361,141
1854,362,141
1855,361,141
1856,361,141
1857,360,141
1858,361,141
1859,361,141
1860,361,141
1861,361,141
1862,361,141
1863,361,141
1864,361,141
1865,361,141
1866,361,141
1867,361,141
1868,362,141
1869,362,141
1870,361,141
1871,362,141
1872,361,141
1873,360,141
1874,360,141
1875,359,141
1876,360,141
1877,360,141
1878,360,141
1879,361,141
1880,362,141
1881,362,141
1882,362,141
1883,363,141
1884,363,141
1885,363,141
1886,363,141
1887,363,141
1888,361,141
1889,361,141
1890,361,141
1891,361,141
1892,362,141
1893,362,141
1894,361,141
1895,362,141
1896,362,141
1897,362,141
1898,363,141
1899,363,141
1900,363,141
1901,362,141
1902,362,141
1903,362,141
1904,362,141
1905,362,141
1906,361,141
1907,361,141
1908,361,141
1909,361,141
1910,360,141
1911,360,141
1912,360,141
1913,360,141
1914,360,141
1915,360,141
1916,361,141
1917,360,141
1918,360,141
1919,360,141
1920,359,141
1921,359,141
1922,359,141
1923,359,140
1924,359,140
1925,359,140
1926,359,140
1927,358,140
1928,358,140
1929,358,140
